Model,clipdet_latent10k,clipdet_latent10k_plus,Corvi2023,fusion[max_logit],fusion[mean_logit],fusion[median_logit],fusion[lse_logit],fusion[mean_prob],fusion[soft_or_prob]
CogVideoX-5B,0.1402777666666667,0.7194445,0.0722222,0.7305555666666667,0.11249999999999999,0.1916667,0.9083332666666666,0.12500003333333332,0.9458333333333333
LattE,0.4114583333333333,0.9166666666666666,0.75,1.0,0.71875,0.7291666666666666,1.0,0.703125,1.0
Luma,0.4793505357142857,0.9311192857142857,0.10714285714285714,0.9314144285714285,0.2606257142857143,0.4790553928571429,0.9426691071428571,0.3208382142857143,0.9345540714285715
